IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:c61f:e014:6354:2225:d0cc,4,4,0.00,209.43,33.69
2606:4700:0:aa:9572:7416:14fe:d897,4,4,0.00,210.34,26.33
2606:4700::ebdc:9a47:40fa,4,4,0.00,211.04,23.96
2606:4700::77:7b76:9e5e:e2ed,4,4,0.00,211.59,20.71
2606:4700:0:2d:9868:b557:339:7c49,4,4,0.00,209.72,19.82
2606:4700::e4:4bea:15a7:30f6,4,4,0.00,208.90,18.71
2606:4700:0:8c:f293:a070:3113:e352,4,4,0.00,211.14,16.10
2606:4700:0:c61f:e014:de38:bebb:8783,4,4,0.00,209.16,15.41
2606:4700:0:c61f:e014:6354:69f4:9cdd,4,4,0.00,211.42,14.45
2606:4700::e4:4bea:15f0:eaaf,4,4,0.00,209.55,10.28
